employee_id,department,region,absence_date,absence_days,absence_reason
1049,Grid Operations,Oost,2025-08-11,1,Illness
1049,Grid Operations,Oost,2025-09-13,2,Medical
1109,Grid Operations,Noord,2026-03-12,3,Illness
1487,Customer Services,Zuid,2025-10-05,2,Other
1131,Grid Operations,West,2025-09-24,2,Medical
1227,Asset Management,Centraal,2026-03-17,3,Family
1578,Engineering,Centraal,2026-01-07,2,Illness
1578,Engineering,Centraal,2025-12-15,1,Illness
1578,Engineering,Centraal,2025-08-30,3,Family
1426,Customer Services,Centraal,2025-07-31,1,Medical
1184,Asset Management,Oost,2025-09-12,3,Illness
1247,IT & Digital,West,2026-03-07,2,Family
1055,Grid Operations,Oost,2026-04-28,5,Illness
1523,Engineering,Centraal,2026-01-28,1,Family
1499,Engineering,West,2025-09-22,1,Medical
1039,Grid Operations,Oost,2026-01-23,1,Medical
1145,Asset Management,West,2026-03-16,2,Illness
1145,Asset Management,West,2025-08-26,2,Illness
1118,Grid Operations,Oost,2025-12-09,1,Family
1118,Grid Operations,Oost,2025-07-17,2,Illness
1400,HR,Centraal,2025-12-03,3,Illness
1400,HR,Centraal,2025-11-12,3,Illness
1331,Finance,Noord,2026-02-21,3,Illness
1132,Grid Operations,Noord,2026-04-07,1,Illness
1086,Grid Operations,Oost,2025-08-09,1,Other
1321,Finance,Zuid,2025-05-08,2,Illness
1485,Customer Services,Oost,2026-02-25,1,Family
1208,Asset Management,Centraal,2026-01-24,2,Family
1393,HR,West,2026-01-25,1,Illness
1346,Finance,Oost,2025-05-11,1,Family
1346,Finance,Oost,2025-11-29,10,Illness
1030,Grid Operations,Oost,2025-05-07,5,Family
1030,Grid Operations,Oost,2025-10-17,2,Family
1030,Grid Operations,Oost,2026-01-09,1,Illness
1575,Engineering,Noord,2025-07-16,3,Illness
1204,Asset Management,Centraal,2026-04-30,5,Illness
1204,Asset Management,Centraal,2026-01-09,2,Illness
1473,Customer Services,Noord,2025-11-30,2,Other
1056,Grid Operations,Centraal,2025-10-21,1,Medical
1228,Asset Management,Oost,2025-12-21,2,Illness
1209,Asset Management,Zuid,2025-11-19,2,Illness
1368,HR,Noord,2025-11-09,2,Illness
1368,HR,Noord,2025-07-29,3,Illness
1361,Finance,Zuid,2025-06-22,1,Illness
1361,Finance,Zuid,2025-09-18,2,Illness
1363,Finance,West,2026-04-04,2,Illness
1363,Finance,West,2025-10-16,3,Family
1468,Customer Services,West,2026-02-15,2,Illness
1070,Grid Operations,Centraal,2025-10-23,1,Illness
1616,Safety & Compliance,Centraal,2025-09-20,1,Illness
1060,Grid Operations,Zuid,2026-02-11,1,Family
