month,demand_fte,supply_fte,gap_fte,demand_grid_operations,demand_asset_management,demand_it_and_digital,demand_finance,demand_hr,demand_customer_services,demand_engineering,demand_safety_and_compliance
2026-05-31,625,620,5,141,91,81,56,41,86,91,41
2026-06-30,631,618,13,143,91,81,56,41,86,91,41
2026-07-31,637,616,21,144,92,82,57,41,87,92,41
2026-08-31,643,614,29,145,93,83,57,42,88,93,42
2026-09-30,649,612,37,147,94,84,58,42,89,94,42
2026-10-31,655,610,45,148,95,84,58,43,90,95,43
2026-11-30,661,608,53,149,96,85,59,43,91,96,43
2026-12-31,667,606,61,151,97,86,59,43,91,97,43
2027-01-31,673,604,69,152,98,87,60,44,92,98,44
2027-02-28,679,602,77,153,98,88,60,44,93,98,44
2027-03-31,685,600,85,155,99,88,61,45,94,99,45
2027-04-30,691,598,93,156,100,89,61,45,95,100,45
2027-05-31,697,596,101,158,101,90,62,45,95,101,45
2027-06-30,703,594,109,159,102,91,63,46,96,102,46
2027-07-31,709,592,117,160,103,91,63,46,97,103,46
2027-08-31,715,590,125,162,104,92,64,46,98,104,46
2027-09-30,721,588,133,163,105,93,64,47,99,105,47
2027-10-31,727,586,141,164,105,94,65,47,100,105,47
2027-11-30,733,584,149,166,106,95,65,48,100,106,48
2027-12-31,739,582,157,167,107,95,66,48,101,107,48
2028-01-31,745,580,165,168,108,96,66,48,102,108,48
2028-02-29,751,578,173,170,109,97,67,49,103,109,49
2028-03-31,757,576,181,171,110,98,67,49,104,110,49
2028-04-30,763,574,189,172,111,98,68,50,105,111,50
