employee_id,department,role_type,region,manager,hire_date,tenure_years,age,salary,salary_growth_pct,attrition_risk_score,attrition_risk_label,absence_risk_score,absence_risk_label,is_active,performance_score
1000,Grid Operations,Office Specialist,Zuid,Manager G,2023-09-29,2.6,36,62772.0,6.05,0.126,Low,0.495,High,True,3
1001,Grid Operations,Office Specialist,West,Manager L,2012-11-02,13.5,46,48698.0,4.63,0.01,Low,0.419,High,True,4
1002,Grid Operations,Office Specialist,West,Manager I,2017-05-01,9.0,58,41188.0,3.75,0.01,Low,0.37,Medium,True,5
1003,Grid Operations,Project Lead,Oost,Manager D,2020-09-29,5.6,61,53059.0,2.11,0.122,Low,0.297,Medium,True,1
1004,Grid Operations,Manager,Centraal,Manager I,2025-03-05,1.2,45,38840.0,1.24,0.083,Low,0.424,High,True,3
1005,Grid Operations,Office Specialist,Oost,Manager I,2025-01-10,1.3,56,38599.0,3.95,0.254,Low,0.223,Medium,True,4
1006,Grid Operations,Project Lead,Zuid,Manager A,2018-07-04,7.8,48,30467.0,5.14,0.01,Low,0.453,High,True,3
1007,Grid Operations,Analyst,Zuid,Manager D,2014-08-16,11.7,25,43413.0,2.56,0.129,Low,0.303,Medium,True,3
1008,Grid Operations,Manager,Zuid,Manager J,2017-09-20,8.6,27,37211.0,2.54,0.074,Low,0.19,Low,True,3
1009,Grid Operations,Field Technician,Zuid,Manager J,2024-02-27,2.2,29,39264.0,0.38,0.535,Medium,0.405,High,True,3
1010,Grid Operations,Field Technician,Centraal,Manager A,2013-05-05,13.0,33,54777.0,-0.35,0.195,Low,0.29,Medium,True,3
1011,Grid Operations,Engineer,Noord,Manager F,2021-05-09,5.0,53,37882.0,1.47,0.013,Low,0.689,High,True,4
1012,Grid Operations,Manager,Zuid,Manager D,2022-12-16,3.4,27,64476.0,3.86,0.101,Low,0.362,Medium,True,5
1013,Grid Operations,Project Lead,Oost,Manager C,2013-02-17,13.2,32,60683.0,1.43,0.01,Low,0.279,Medium,True,5
1014,Grid Operations,Field Technician,Noord,Manager C,2015-11-27,10.4,26,58119.0,4.56,0.165,Low,0.324,Medium,True,4
1015,Grid Operations,Field Technician,Zuid,Manager I,2014-08-08,11.8,41,52279.0,-0.7,0.293,Low,0.541,High,True,3
1016,Grid Operations,Engineer,Noord,Manager A,2022-07-16,3.8,41,71118.0,1.53,0.051,Low,0.676,High,True,5
1017,Grid Operations,Field Technician,Centraal,Manager L,2025-06-25,0.9,42,37020.0,8.47,0.258,Low,0.178,Low,True,5
