requisition_id,department,role_type,region,stage,application_date,days_in_stage,hire_date,status
REQ-2000,Asset Management,Manager,West,Applications,2026-02-13,27,,Open
REQ-2001,Engineering,Project Lead,Oost,Interviewed,2026-01-25,10,,Open
REQ-2002,IT & Digital,Manager,Zuid,Applications,2026-05-05,9,,Open
REQ-2003,Asset Management,Analyst,Oost,Applications,2025-12-15,27,,Open
REQ-2004,HR,Manager,Zuid,Hired,2026-01-01,9,2026-02-20,Closed
REQ-2005,Finance,Office Specialist,Zuid,Applications,2026-02-01,24,,Open
REQ-2006,Customer Services,Manager,Oost,Screened,2025-12-28,12,,Open
REQ-2007,Finance,Manager,Centraal,Interviewed,2025-11-14,9,,Open
REQ-2008,Customer Services,Analyst,West,Applications,2026-01-11,18,,Open
REQ-2009,Engineering,Engineer,Centraal,Applications,2026-02-22,11,,Open
REQ-2010,Safety & Compliance,Analyst,West,Applications,2025-11-30,27,,Open
REQ-2011,Safety & Compliance,Engineer,West,Applications,2026-01-27,26,,Open
REQ-2012,Asset Management,Project Lead,Zuid,Interviewed,2025-12-18,20,,Open
REQ-2013,Safety & Compliance,Office Specialist,Centraal,Applications,2026-01-22,6,,Open
REQ-2014,HR,Field Technician,Oost,Interviewed,2026-01-21,15,,Open
REQ-2015,IT & Digital,Engineer,Zuid,Offer Made,2026-02-19,29,,Open
REQ-2016,HR,Office Specialist,Zuid,Screened,2026-04-01,14,,Open
REQ-2017,Asset Management,Project Lead,Oost,Offer Made,2026-02-11,21,,Open
REQ-2018,HR,Engineer,Noord,Hired,2026-01-16,13,2026-04-03,Closed
REQ-2019,HR,Analyst,Oost,Interviewed,2026-04-25,2,,Open
REQ-2020,Safety & Compliance,Field Technician,Zuid,Applications,2025-12-05,21,,Open
REQ-2021,Finance,Field Technician,West,Applications,2026-02-27,26,,Open
REQ-2022,IT & Digital,Field Technician,West,Applications,2025-12-11,8,,Open
REQ-2023,IT & Digital,Field Technician,West,Applications,2026-02-19,22,,Open
REQ-2024,IT & Digital,Analyst,Zuid,Offer Made,2025-11-17,4,,Open
REQ-2025,Safety & Compliance,Manager,Centraal,Applications,2026-03-08,10,,Open
REQ-2026,Safety & Compliance,Analyst,Oost,Applications,2026-03-24,11,,Open
REQ-2027,Asset Management,Office Specialist,Noord,Offer Made,2025-12-09,17,,Open
REQ-2028,HR,Analyst,West,Applications,2026-02-17,11,,Open
REQ-2029,Engineering,Engineer,Zuid,Applications,2026-05-03,1,,Open
REQ-2030,Asset Management,Field Technician,Centraal,Applications,2026-04-02,2,,Open
REQ-2031,Asset Management,Manager,West,Screened,2025-12-25,22,,Open
REQ-2032,IT & Digital,Office Specialist,Zuid,Applications,2026-02-02,3,,Open
REQ-2033,Asset Management,Field Technician,Oost,Screened,2026-02-15,2,,Open
REQ-2034,Engineering,Office Specialist,Centraal,Screened,2026-02-24,18,,Open
REQ-2035,Asset Management,Field Technician,Centraal,Applications,2026-05-03,12,,Open
REQ-2036,Asset Management,Analyst,West,Applications,2026-02-02,19,,Open
REQ-2037,Grid Operations,Manager,Centraal,Applications,2026-01-10,7,,Open
REQ-2038,Engineering,Analyst,Oost,Offer Made,2026-04-18,11,,Open
REQ-2039,HR,Project Lead,Oost,Screened,2026-03-17,29,,Open
REQ-2040,Asset Management,Field Technician,Noord,Applications,2026-04-29,29,,Open
REQ-2041,Asset Management,Engineer,West,Applications,2026-02-10,26,,Open
REQ-2042,Grid Operations,Office Specialist,Zuid,Applications,2026-03-07,2,,Open
REQ-2043,Customer Services,Project Lead,West,Screened,2025-12-02,19,,Open
REQ-2044,HR,Manager,Zuid,Applications,2026-03-04,9,,Open
REQ-2045,Customer Services,Field Technician,Noord,Interviewed,2025-11-11,27,,Open
REQ-2046,IT & Digital,Office Specialist,Oost,Applications,2026-03-08,6,,Open
REQ-2047,Grid Operations,Engineer,West,Applications,2026-01-17,1,,Open
REQ-2048,HR,Field Technician,Centraal,Hired,2026-04-25,5,2026-06-02,Closed
REQ-2049,Safety & Compliance,Project Lead,Zuid,Screened,2026-04-26,2,,Open
REQ-2050,HR,Engineer,Centraal,Offer Made,2026-02-22,1,,Open
REQ-2051,Engineering,Manager,Noord,Interviewed,2026-02-19,22,,Open
REQ-2052,Safety & Compliance,Field Technician,Zuid,Applications,2025-11-10,3,,Open
REQ-2053,Customer Services,Analyst,West,Interviewed,2025-12-23,3,,Open
REQ-2054,Safety & Compliance,Analyst,West,Applications,2026-01-18,16,,Open
REQ-2055,HR,Office Specialist,Centraal,Applications,2026-03-17,3,,Open
REQ-2056,Asset Management,Manager,West,Offer Made,2026-01-16,5,,Open
REQ-2057,Engineering,Field Technician,Zuid,Applications,2026-03-31,12,,Open
REQ-2058,Engineering,Analyst,Oost,Interviewed,2026-04-10,21,,Open
REQ-2059,HR,Engineer,West,Applications,2025-11-09,23,,Open
REQ-2060,Grid Operations,Office Specialist,Centraal,Applications,2026-04-13,15,,Open
REQ-2061,Grid Operations,Engineer,Zuid,Applications,2026-03-07,12,,Open
REQ-2062,Customer Services,Analyst,Noord,Applications,2026-03-25,22,,Open
REQ-2063,HR,Field Technician,Noord,Screened,2026-01-23,23,,Open
REQ-2064,IT & Digital,Project Lead,Zuid,Applications,2025-12-13,20,,Open
REQ-2065,IT & Digital,Manager,Centraal,Applications,2026-03-04,28,,Open
REQ-2066,HR,Office Specialist,Noord,Applications,2026-04-11,11,,Open
REQ-2067,IT & Digital,Analyst,Oost,Offer Made,2025-11-17,15,,Open
REQ-2068,Customer Services,Office Specialist,West,Applications,2026-03-21,2,,Open
REQ-2069,Safety & Compliance,Office Specialist,Zuid,Applications,2025-12-13,12,,Open
REQ-2070,Asset Management,Project Lead,Oost,Hired,2026-03-14,19,2026-04-26,Closed
REQ-2071,IT & Digital,Project Lead,West,Offer Made,2026-03-25,3,,Open
REQ-2072,HR,Project Lead,Centraal,Interviewed,2026-03-03,3,,Open
REQ-2073,Customer Services,Analyst,Oost,Interviewed,2026-01-20,25,,Open
REQ-2074,Finance,Office Specialist,Oost,Screened,2025-11-18,15,,Open
REQ-2075,HR,Office Specialist,West,Screened,2026-01-02,12,,Open
REQ-2076,Asset Management,Analyst,Centraal,Hired,2026-02-17,23,2026-04-02,Closed
REQ-2077,Customer Services,Analyst,Noord,Applications,2026-05-02,13,,Open
REQ-2078,Finance,Manager,West,Applications,2026-02-06,8,,Open
REQ-2079,Customer Services,Engineer,West,Applications,2026-02-27,17,,Open
REQ-2080,Asset Management,Manager,Oost,Interviewed,2026-01-31,4,,Open
REQ-2081,IT & Digital,Manager,Oost,Offer Made,2026-04-11,25,,Open
REQ-2082,Asset Management,Field Technician,Noord,Interviewed,2026-02-26,9,,Open
REQ-2083,Safety & Compliance,Engineer,Zuid,Applications,2026-01-07,15,,Open
REQ-2084,IT & Digital,Manager,Centraal,Offer Made,2026-02-13,5,,Open
REQ-2085,IT & Digital,Analyst,Noord,Offer Made,2025-12-06,6,,Open
REQ-2086,Grid Operations,Field Technician,Oost,Screened,2026-04-26,9,,Open
REQ-2087,Finance,Analyst,Oost,Applications,2026-04-15,5,,Open
REQ-2088,Safety & Compliance,Project Lead,Noord,Applications,2026-02-12,20,,Open
REQ-2089,Finance,Office Specialist,Noord,Screened,2025-12-17,1,,Open
REQ-2090,Finance,Office Specialist,Zuid,Screened,2026-04-02,7,,Open
REQ-2091,Asset Management,Office Specialist,Noord,Screened,2026-02-11,16,,Open
REQ-2092,HR,Engineer,Oost,Applications,2026-04-27,25,,Open
REQ-2093,HR,Project Lead,Oost,Applications,2026-05-05,10,,Open
REQ-2094,Asset Management,Analyst,West,Applications,2025-11-18,18,,Open
REQ-2095,Finance,Office Specialist,Noord,Applications,2026-04-28,17,,Open
REQ-2096,Customer Services,Engineer,Centraal,Offer Made,2026-03-14,23,,Open
REQ-2097,HR,Manager,Centraal,Applications,2026-04-05,5,,Open
REQ-2098,Asset Management,Engineer,Oost,Interviewed,2026-01-08,28,,Open
REQ-2099,Customer Services,Analyst,Centraal,Interviewed,2025-12-17,29,,Open
REQ-2100,Asset Management,Office Specialist,Zuid,Interviewed,2025-11-28,4,,Open
REQ-2101,Engineering,Engineer,Noord,Applications,2026-01-16,25,,Open
REQ-2102,Finance,Office Specialist,Centraal,Interviewed,2026-04-08,3,,Open
REQ-2103,Finance,Analyst,Noord,Screened,2026-01-26,21,,Open
REQ-2104,Asset Management,Analyst,Centraal,Applications,2026-03-12,2,,Open
REQ-2105,Engineering,Analyst,Noord,Applications,2025-12-15,13,,Open
REQ-2106,Grid Operations,Field Technician,West,Offer Made,2026-04-12,18,,Open
REQ-2107,Safety & Compliance,Manager,Noord,Applications,2026-02-05,24,,Open
REQ-2108,Grid Operations,Field Technician,Noord,Applications,2025-11-15,25,,Open
REQ-2109,Safety & Compliance,Engineer,West,Applications,2026-04-26,3,,Open
REQ-2110,Customer Services,Office Specialist,Zuid,Interviewed,2025-11-12,27,,Open
REQ-2111,Engineering,Manager,Noord,Applications,2025-12-11,8,,Open
REQ-2112,Customer Services,Manager,Oost,Applications,2026-04-22,16,,Open
REQ-2113,Safety & Compliance,Office Specialist,Centraal,Applications,2026-04-24,18,,Open
REQ-2114,Asset Management,Field Technician,Oost,Applications,2026-01-04,7,,Open
REQ-2115,HR,Office Specialist,Centraal,Applications,2026-01-03,13,,Open
REQ-2116,Grid Operations,Analyst,West,Offer Made,2026-01-02,20,,Open
REQ-2117,Grid Operations,Manager,Centraal,Screened,2026-03-24,29,,Open
REQ-2118,HR,Manager,Zuid,Applications,2026-02-24,26,,Open
REQ-2119,Asset Management,Office Specialist,West,Applications,2026-01-06,18,,Open
REQ-2120,HR,Project Lead,Centraal,Applications,2026-01-11,18,,Open
REQ-2121,Grid Operations,Engineer,Zuid,Applications,2026-04-01,2,,Open
REQ-2122,HR,Project Lead,Centraal,Offer Made,2026-04-11,23,,Open
REQ-2123,Customer Services,Analyst,Zuid,Screened,2026-02-03,12,,Open
REQ-2124,Finance,Manager,West,Interviewed,2026-04-10,22,,Open
REQ-2125,Engineering,Field Technician,Noord,Interviewed,2026-03-16,23,,Open
REQ-2126,Grid Operations,Analyst,Zuid,Hired,2026-01-21,9,2026-02-23,Closed
REQ-2127,Asset Management,Office Specialist,Zuid,Screened,2025-12-02,17,,Open
REQ-2128,Finance,Field Technician,West,Screened,2025-12-17,6,,Open
REQ-2129,Grid Operations,Project Lead,Centraal,Hired,2025-11-16,29,2026-01-19,Closed
REQ-2130,IT & Digital,Field Technician,Oost,Applications,2026-02-12,24,,Open
REQ-2131,Engineering,Engineer,West,Applications,2025-11-09,11,,Open
REQ-2132,HR,Manager,West,Offer Made,2026-04-25,14,,Open
REQ-2133,Safety & Compliance,Manager,West,Applications,2025-11-28,22,,Open
REQ-2134,HR,Office Specialist,Oost,Interviewed,2026-04-24,4,,Open
REQ-2135,Safety & Compliance,Analyst,Centraal,Hired,2026-03-14,15,2026-05-28,Closed
REQ-2136,Engineering,Engineer,Oost,Screened,2025-11-17,19,,Open
REQ-2137,HR,Analyst,Zuid,Offer Made,2025-12-18,25,,Open
REQ-2138,IT & Digital,Office Specialist,Centraal,Applications,2025-12-19,24,,Open
REQ-2139,Finance,Manager,Zuid,Applications,2026-01-04,19,,Open
REQ-2140,HR,Office Specialist,Centraal,Offer Made,2026-04-17,4,,Open
REQ-2141,Finance,Manager,West,Interviewed,2025-12-03,22,,Open
REQ-2142,Engineering,Engineer,Noord,Applications,2025-11-18,12,,Open
REQ-2143,HR,Project Lead,West,Applications,2025-12-26,24,,Open
REQ-2144,Grid Operations,Field Technician,West,Interviewed,2025-12-02,27,,Open
REQ-2145,HR,Field Technician,Zuid,Applications,2026-01-08,27,,Open
REQ-2146,IT & Digital,Office Specialist,Oost,Applications,2026-02-10,2,,Open
REQ-2147,Grid Operations,Project Lead,Centraal,Applications,2026-03-07,1,,Open
REQ-2148,Customer Services,Manager,Centraal,Offer Made,2026-03-08,20,,Open
REQ-2149,Grid Operations,Office Specialist,Zuid,Applications,2026-03-31,14,,Open
REQ-2150,Engineering,Project Lead,Centraal,Interviewed,2026-01-21,17,,Open
REQ-2151,Grid Operations,Manager,Centraal,Applications,2026-02-17,23,,Open
REQ-2152,Safety & Compliance,Field Technician,Oost,Interviewed,2026-03-07,9,,Open
REQ-2153,HR,Analyst,West,Screened,2025-11-27,19,,Open
REQ-2154,Customer Services,Analyst,Noord,Applications,2026-02-05,6,,Open
REQ-2155,Customer Services,Engineer,Noord,Applications,2026-01-22,20,,Open
REQ-2156,Safety & Compliance,Engineer,Oost,Screened,2026-02-13,28,,Open
REQ-2157,Finance,Engineer,Oost,Hired,2026-04-10,10,2026-06-22,Closed
REQ-2158,HR,Analyst,Oost,Hired,2025-12-26,24,2026-01-25,Closed
REQ-2159,Engineering,Project Lead,Zuid,Screened,2025-11-23,23,,Open
REQ-2160,Asset Management,Engineer,Noord,Applications,2025-12-11,16,,Open
REQ-2161,HR,Project Lead,Noord,Screened,2025-11-24,27,,Open
REQ-2162,Engineering,Analyst,Zuid,Applications,2026-04-19,9,,Open
REQ-2163,HR,Analyst,Centraal,Hired,2026-03-21,9,2026-04-20,Closed
REQ-2164,Safety & Compliance,Analyst,Zuid,Interviewed,2026-02-07,28,,Open
REQ-2165,Asset Management,Analyst,Noord,Hired,2026-03-10,18,2026-05-08,Closed
REQ-2166,Safety & Compliance,Engineer,Noord,Applications,2025-12-10,14,,Open
REQ-2167,Safety & Compliance,Field Technician,Centraal,Applications,2026-01-16,14,,Open
REQ-2168,Finance,Analyst,Oost,Applications,2026-01-07,23,,Open
REQ-2169,Asset Management,Manager,Zuid,Offer Made,2026-03-06,18,,Open
REQ-2170,Grid Operations,Field Technician,Noord,Interviewed,2026-01-31,10,,Open
REQ-2171,Customer Services,Engineer,Centraal,Screened,2025-12-02,5,,Open
REQ-2172,Asset Management,Engineer,Oost,Interviewed,2026-02-24,5,,Open
REQ-2173,HR,Field Technician,Noord,Interviewed,2026-01-19,21,,Open
REQ-2174,Customer Services,Engineer,West,Screened,2026-03-10,22,,Open
REQ-2175,IT & Digital,Project Lead,West,Applications,2026-01-18,23,,Open
REQ-2176,Safety & Compliance,Project Lead,Zuid,Applications,2026-02-20,25,,Open
REQ-2177,Finance,Office Specialist,Zuid,Screened,2025-11-21,12,,Open
REQ-2178,Safety & Compliance,Project Lead,Zuid,Offer Made,2025-11-25,9,,Open
REQ-2179,Asset Management,Office Specialist,Zuid,Screened,2026-03-28,7,,Open
REQ-2180,Engineering,Engineer,West,Applications,2025-12-16,14,,Open
REQ-2181,Finance,Field Technician,Oost,Applications,2026-03-12,9,,Open
REQ-2182,Grid Operations,Project Lead,Oost,Applications,2026-02-16,8,,Open
REQ-2183,Asset Management,Analyst,Centraal,Offer Made,2026-04-11,20,,Open
REQ-2184,Finance,Office Specialist,Zuid,Hired,2026-01-01,15,2026-01-25,Closed
REQ-2185,Asset Management,Manager,Centraal,Applications,2026-02-17,23,,Open
REQ-2186,IT & Digital,Project Lead,Oost,Interviewed,2026-03-23,6,,Open
REQ-2187,HR,Field Technician,Centraal,Applications,2026-04-29,27,,Open
REQ-2188,Asset Management,Analyst,Zuid,Screened,2025-11-25,21,,Open
REQ-2189,HR,Analyst,Oost,Interviewed,2026-04-07,11,,Open
REQ-2190,Asset Management,Manager,West,Applications,2026-01-24,27,,Open
REQ-2191,IT & Digital,Engineer,Zuid,Screened,2026-03-14,27,,Open
REQ-2192,Asset Management,Field Technician,West,Offer Made,2026-04-05,23,,Open
REQ-2193,Customer Services,Analyst,West,Offer Made,2026-04-16,11,,Open
REQ-2194,Customer Services,Analyst,Zuid,Offer Made,2026-04-05,22,,Open
REQ-2195,Customer Services,Field Technician,Centraal,Applications,2026-02-06,11,,Open
REQ-2196,IT & Digital,Analyst,Zuid,Interviewed,2026-03-10,13,,Open
REQ-2197,Grid Operations,Project Lead,Centraal,Screened,2025-12-27,9,,Open
REQ-2198,IT & Digital,Project Lead,Noord,Applications,2026-04-28,4,,Open
REQ-2199,Engineering,Engineer,West,Applications,2026-03-03,26,,Open
REQ-2200,IT & Digital,Engineer,West,Offer Made,2026-02-07,18,,Open
REQ-2201,HR,Field Technician,Oost,Applications,2026-04-01,28,,Open
